Date,WeekofYear,DayofWeek,Category,Cost
2023-01-20,3,4,Groceries,14.25
2023-01-20,3,4,Healthcare,3.62
2023-01-20,3,4,Selfcare,39.0
2023-01-21,3,5,Eating Out,7.0
2023-01-21,3,5,Transport,22.9
2023-01-22,3,6,Eating Out,4.0
2023-01-22,3,6,Groceries,23.509999999999998
2023-01-22,3,6,Shopping,24.5
2023-01-22,3,6,Transport,20.01
2023-01-23,4,0,Selfcare,36.05
2023-01-23,4,0,Transport,79.86
2023-01-25,4,2,Groceries,29.45
2023-01-25,4,2,Rent + Bills,25.0
2023-01-25,4,2,Shopping,5.7
2023-01-27,4,4,Groceries,4.18
2023-01-27,4,4,Healthcare,13.52
2023-01-27,4,4,Hobbies,18.82
2023-01-27,4,4,Transport,9.95
2023-01-27,4,4,Travel,74.63
2023-01-29,4,6,Shopping,75.97
2023-01-31,5,1,Groceries,18.96
2023-02-01,5,2,Eating Out,31.799999999999997
2023-02-01,5,2,Rent + Bills,39.94
2023-02-01,5,2,Shopping,73.83
2023-02-02,5,3,Groceries,1.44
2023-02-02,5,3,Healthcare,53.59
2023-02-02,5,3,Shopping,94.5
2023-02-02,5,3,Transport,79.41
2023-02-03,5,4,Eating Out,32.0
2023-02-03,5,4,Groceries,8.94
2023-02-03,5,4,Travel,34.5
2023-02-04,5,5,Rent + Bills,1.88
2023-02-04,5,5,Shopping,15.7
2023-02-06,6,0,Transport,30.19
2023-02-10,6,4,Student Loan,82.43
2023-02-11,6,5,Groceries,10.0
2023-02-13,7,0,Rent + Bills,10.0
2023-02-13,7,0,Transport,30.5
2023-02-14,7,1,Groceries,2.51
2023-02-14,7,1,Shopping,21.8
2023-02-16,7,3,Eating Out,15.85
2023-02-16,7,3,Rent + Bills,30.9
2023-02-18,7,5,Groceries,68.88
2023-02-19,7,6,Eating Out,11.49
2023-02-19,7,6,Travel,181.49
2023-02-20,8,0,Eating Out,1.92
2023-02-20,8,0,Groceries,31.21
2023-02-20,8,0,Transport,30.72
2023-02-21,8,1,Eating Out,9.59
2023-02-21,8,1,Groceries,8.26
2023-02-21,8,1,Shopping,222.26
2023-02-22,8,2,Groceries,27.25
2023-02-23,8,3,Groceries,13.69
2023-02-24,8,4,Eating Out,4.31
2023-02-24,8,4,Rent + Bills,4.5
