Category,Detail,Cost,Date
Eating Out,McDs,€5.50,28-Nov
Groceries,Groceries,€23.05,28-Nov
Groceries,Groceries,€39.01,29-Nov
Healthcare,Pill,€49.97,29-Nov
Transport,Airport train,€1.80,30-Nov
Groceries,Groceries,€17.51,3-Dec
Eating Out,Comedy,€10.00,3-Dec
Groceries,Groceries,€48.60,6-Dec
Eating Out,Christmas market,€10.00,7-Dec
Eating Out,Bubble tea and Indian,€15.80,8-Dec
Eating Out,Coffee,€2.80,9-Dec
Groceries,Groceries,€12.52,9-Dec
Eating Out,Ikea Lunch,€6.95,10-Dec
Shopping,Ikea things,€6.26,10-Dec
Groceries,Groceries,€11.46,10-Dec
Eating Out,Brunch,€12.00,11-Dec
Eating Out,Glühwein,€7.50,11-Dec
Eating Out,Lunch,€16.00,12-Dec
Rent + Bills,Printing,€9.16,12-Dec
Groceries,Groceries ,€28.95,14-Dec
Shopping,Christmas presents + shoes,€126.91,15-Dec
Eating Out,Lunch,€10.00,16-Dec
Groceries,Groceries,€8.70,17-Dec
Groceries,Groceries,€16.68,17-Dec
Rent + Bills,Rent,€500.00,1-Dec
Rent + Bills,Car,€20.15,21-Dec
Transport,BVG,€1.80,22-Dec
Eating Out,McD,€4.79,23-Dec
Transport,BVG Airport,€1.80,23-Dec
Groceries,Toogoodtogo,€3.50,23-Dec
Groceries,Xmas food,€23.51,23-Dec
Shopping,Xmas presents,€27.55,24-Dec
Rent + Bills,Phone,€25.00,25-Dec
Rent + Bills,Google,€1.88,4-Jan
Rent + Bills,Personal Liability Insurance,€4.94,1-Jan
Student Loan,Student Loan,€82.95,10-Jan
Rent + Bills,UK Phone,€14.68,13-Jan
Rent + Bills,Legal Insurance,€35.00,1-Jan
Shopping,Xmas presents,€18.53,25-Dec
Eating Out,Beers,€10.00,25-Dec
Hobbies,Pádel,€14.00,26-Dec
Hobbies,Cards,€5.00,26-Dec
Hobbies,Norwegian,€18.82,27-Dec
Groceries,Groceries,€4.02,27-Dec
Rent + Bills,Rent,€500.00,1-Jan
Groceries,Groceries,€7.50,3-Jan
Groceries,Groceries,€4.66,8-Jan
Selfcare,Douglas,€32.76,11-Jan
Selfcare,PromoFarma,€52.36,11-Jan
Selfcare,Haircut,€24.00,13-Jan
Rent + Bills,Ethernet,€5.00,13-Jan
Groceries,Bread,€3.17,14-Jan
Groceries,Vegetables,€4.50,14-Jan
Hobbies,Crossfit,€35.00,19-Jan
Selfcare,Waxing,€39.00,20-Jan
Healthcare,Medicine,€3.62,20-Jan
Groceries,Groceries,€14.25,20-Jan
Transport,Parking,€0.20,21-Jan
Transport,Metro,€22.70,21-Jan
Eating Out,Drinks,€7.00,21-Jan
Groceries,Groceries,€12.15,22-Jan
Eating Out,Churros,€4.00,22-Jan
Shopping,Gift for mom,€24.50,22-Jan
Groceries,Groceries,€11.36,22-Jan
Transport,Fuel,€20.01,22-Jan
Transport,Fuel,€79.86,23-Jan
Selfcare,Druni,€36.05,23-Jan
Rent + Bills,Phone,€25.00,25-Dec
Rent + Bills,Google,€1.88,4-Feb
Rent + Bills,Personal Liability Insurance,€4.94,1-Feb
Student Loan,Student Loan,€82.43,10-Feb
Rent + Bills,UK Phone,€10.00,13-Feb
Rent + Bills,Legal Insurance,€35.00,1-Feb
Hobbies,Norwegian,€18.82,27-Jan
Groceries,Groceries,€29.45,25-Jan
Shopping,Chino,€5.70,25-Jan
Travel,Flights,€33.98,27-Jan
Travel,Flights,€40.65,27-Jan
Groceries,Bread,€4.18,27-Jan
Transport,Car wash,€9.95,27-Jan
Healthcare,Pharmacy,€13.52,27-Jan
Shopping,IKEA,€60.00,29-Jan
Shopping,Decathlon,€15.97,29-Jan
Groceries,Groceries,€18.96,31-Jan
Shopping,IKEA,€29.91,1-Feb
Shopping,IKEA,€5.49,1-Feb
Shopping,Hollister,€17.28,1-Feb
Shopping,Druni,€21.15,1-Feb
Eating Out,Morrysom,€25.70,1-Feb
Eating Out,McDonald's,€6.10,1-Feb
Transport,Car,€79.41,2-Feb
Healthcare,Pill,€53.59,2-Feb
Shopping,Bonet,€25.50,2-Feb
Shopping,Boots,€69.00,2-Feb
Groceries,Bread,€1.44,2-Feb
Travel,Girona Lockers,€8.00,3-Feb
Eating Out,Lunch,€32.00,3-Feb
Travel,Train,€26.50,3-Feb
Groceries,Groceries,€8.94,3-Feb
Shopping,Amarula,€15.70,4-Feb
Transport,Oslo ticket,€30.19,6-Feb
Transport,Oslo ticket,€30.50,13-Feb
Groceries,Groceries,€10.00,11-Feb
Shopping,Vday gift,€4.39,14-Feb
Groceries,Granola,€2.51,14-Feb
Rent + Bills,Deutsche Post,€30.90,16-Feb
Shopping,Vday gift,€17.41,14-Feb
Eating Out,Beer,€7.29,19-Feb
Groceries,Toiletries,€22.05,18-Feb
Groceries,Cleaning materials,€46.83,18-Feb
Eating Out,Burger,€15.85,16-Feb
Travel,Flights,€181.49,19-Feb
Eating Out,OJ,€4.20,19-Feb
Transport,Oslo ticket,€30.72,20-Feb
Groceries,Groceries,€27.14,20-Feb
Groceries,Groceries,€4.07,20-Feb
Eating Out,Lunch,€1.92,20-Feb
Shopping,Ikea,€74.78,21-Feb
Eating Out,Ikea,€9.59,21-Feb
Shopping,Furniture,€147.48,21-Feb
